Reverb 1 HighPass Freq,210
Reverb 1 Size,211
Reverb 1 Output MS Mix (Stereo),212
Param Eq 1 LowShelf fc,213
Param Eq 1 LowShelf Gain,214
Param Eq 1 LowShelf Q,215
Param Eq 1 Peak 1 fc,216
Param Eq 1 Peak 1 Gain,217
Param Eq 1 Peak 1 Q,218
Param Eq 1 Peak 2 fc,219
Param Eq 1 Peak 2 Gain,220
Param Eq 1 Peak 2 Q,221
Param Eq 1 Peak 3 fc,222
Param Eq 1 Peak 3 Gain,223
Param Eq 1 Peak 3 Q,224
Param Eq 1 HighShelf fc,225
Param Eq 1 HighShelf Gain,226
Param Eq 1 HighShelf Q,227
Param Eq 1 Scale,228
Distortion 1 Drive,229
Distortion 1 Output Gain,230
Wavefolder 1 Drive,231
Wavefolder 1 Output Gain,232
Overdrive 1 Drive,233
Overdrive 1 Tone,234
Overdrive 1 Level,235
Chorus 1 Fix Delay,236
Chorus 1 Depth,237
Chorus 1 Rate,238
Chorus 1 Feedback,239
Chorus 1 Stereo Mode,240
Chorus 1 LFO Shape,241
Phaser 1 Frequency,242
Phaser 1 N Poles,243
Phaser 1 Feedback,244
Phaser 1 LFO Amount,245
Phaser 1 Rate Unsynced,246
Phaser 1 Rate Synced,247
Phaser 1 Stereo,248
Delay 1 Time,249
Delay 1 Synced,250
Delay 1 Feedback,251
Delay 1 HighPass fc,252
Delay 1 LowPass fc,253
Delay 1 Stereo Spread,254
Delay 1 Stereo Width,255
Delay 1 Stereo Mode,256
FX Filter 1 Frequency,257
FX Filter 1 Q,258
FX Filter 1 Comb Freq,259
Stereo Pan 1 Amount,260
Stereo Pan 1 Rate Unsynced,261
Stereo Pan 1 Rate Synced,262
Flanger 1 MinDelay,263
Flanger 1 Depth,264
Flanger 1 Rate,265
Flanger 1 Sync Rate,266
Flanger 1 Feedback,267
Flanger 1 Feedback Polarity,268
Flanger 1 Stereo,269
Flanger 1 LowPass fc,270
Flanger 1 HighPass fc,271
Flanger 1 LFO Waveform,272
Bit Crusher 1 Bit Depth,273
Bit Crusher 1 Downsample,274
Compressor 1 Threshold,275
Compressor 1 Ratio,276
Compressor 1 Attack,277
Compressor 1 Release,278
Compressor 1 Auto Make up,279
Compressor 1 Output Gain,280
Compressor 1 OutGainReduction,281
FX 2 Bypass,282
FX 2 Dry/Wet,283
Reverb 2 Predelay,284
Reverb 2 Decay,285
Reverb 2 Damping,286
Reverb 2 LowPass Freq,287
Reverb 2 HighPass Freq,288
Reverb 2 Size,289
Reverb 2 Output MS Mix (Stereo),290
Param Eq 2 LowShelf fc,291
Param Eq 2 LowShelf Gain,292
Param Eq 2 LowShelf Q,293
Param Eq 2 Peak 1 fc,294
Param Eq 2 Peak 1 Gain,295
Param Eq 2 Peak 1 Q,296
Param Eq 2 Peak 2 fc,297
Param Eq 2 Peak 2 Gain,298
Param Eq 2 Peak 2 Q,299
Param Eq 2 Peak 3 fc,300
Param Eq 2 Peak 3 Gain,301
Param Eq 2 Peak 3 Q,302
Param Eq 2 HighShelf fc,303
Param Eq 2 HighShelf Gain,304
Param Eq 2 HighShelf Q,305
Param Eq 2 Scale,306
Distortion 2 Drive,307
Distortion 2 Output Gain,308
Wavefolder 2 Drive,309
Wavefolder 2 Output Gain,310
Overdrive 2 Drive,311
Overdrive 2 Tone,312
Overdrive 2 Level,313
Chorus 2 Fix Delay,314
Chorus 2 Depth,315
Chorus 2 Rate,316
Chorus 2 Feedback,317
Chorus 2 Stereo Mode,318
Chorus 2 LFO Shape,319
Phaser 2 Frequency,320
Phaser 2 N Poles,321
Phaser 2 Feedback,322
Phaser 2 LFO Amount,323
Phaser 2 Rate Unsynced,324
Phaser 2 Rate Synced,325
Phaser 2 Stereo,326
Delay 2 Time,327
Delay 2 Synced,328
